Frame,X,Y,movement type
213,477.50016,320.00016,L
214,479.50016,322.5,L
215,480.49984,325.5,L
216,481.50016,328.5,LP
217,483.50016,331.5,P
218,484.49984,335.00016,LP
219,486.49984,337.5,L
220,487.50016,340.5,P
221,488.49984,344.00016,LP
222,490.49984,346.5,P
223,491.50016,349.5,L
224,493.50016,352.5,L
225,494.49984,355.5,P
226,495.50016,359.00016,L
227,497.50016,361.5,P
228,498.49984,364.5,LP
229,499.50016,367.5,L
230,501.50016,370.5,P
231,502.49984,373.5,L
232,504.49984,376.5,LP
233,505.50016,379.5,P
234,506.49984,382.5,L
235,508.49984,385.5,P
236,509.50016,388.5,P
237,511.50016,392.00016,L
238,512.49984,394.5,P
239,513.50016,397.5,LP
240,515.50016,400.5,L
241,516.49984,403.5,L
242,518.49984,407.00016,P
243,518.49984,407.00016,P
244,515.50016,399,L
245,513.50016,390.50016,P
246,510.49984,382.5,P
247,508.49984,375,P
248,505.50016,368.00016,L
249,503.50016,360,P
250,501.50016,352.5,L
251,498.49984,345.50016,P
252,496.49984,338.49984,L
253,493.50016,331.5,LP
254,491.50016,324.50016,P
255,489.50016,318.50016,L
256,486.49984,312,LP
257,484.49984,305.49984,P
258,481.50016,299.49984,LP
259,479.50016,292.5,L
260,477.50016,288,L
261,474.49984,281.49984,P
262,472.49984,275.49984,P
263,469.50016,270.99984,L
264,467.50016,264.50016,P
265,465.50016,259.5,L
266,462.49984,254.49984,LP
267,460.49984,249.50016,L
268,457.50016,244.5,PL
269,455.50016,240,PL
270,452.49984,235.5,LP
271,450.49984,230.49984,PL
272,448.49984,226.5,PL
273,445.50016,222.99984,LP
274,443.50016,218.49984,PL
275,440.49984,214.5,PL
276,438.49984,210.50016,P
277,436.49984,207,L
278,433.50016,203.49984,P
279,431.50016,201,L
280,428.49984,196.5,P
281,426.49984,193.5,L
282,424.49984,190.5,P
283,421.50016,188.49984,L
284,419.50016,185.49984,L
285,416.49984,182.49984,P
286,414.49984,180.50016,L
287,412.49984,178.5,PL
288,409.50016,177,L
289,407.50016,174.99984,L
290,404.49984,172.5,PL
291,402.49984,170.49984,PL
292,399.50016,168.99984,P
293,397.50016,168,L
294,395.50016,167.00016,L
295,392.49984,165.50016,P
296,390.49984,164.49984,PL
297,387.50016,163.5,P
298,385.50016,162.50016,L
299,383.50016,161.49984,PL
300,380.49984,161.49984,L
301,378.49984,161.00016,LP
302,375.50016,160.5,PL
303,373.50016,160.5,L
304,371.50016,160.5,L
305,368.49984,160.5,PL
306,366.49984,161.49984,LP
307,363.50016,161.49984,PL
308,361.50016,162.50016,P
309,359.50016,163.5,LP
310,356.49984,164.49984,L
311,354.49984,165.50016,PL
312,351.50016,167.00016,LP
313,349.50016,168,L
314,347.50016,168.50016,P
315,344.49984,170.49984,P
316,342.49984,172.5,PL
317,339.50016,174.99984,L
318,337.50016,176.49984,P
319,334.49984,178.5,L
320,332.49984,180.50016,LP
321,330.49984,182.49984,P
322,327.50016,186,L
323,325.50016,188.49984,LP
324,322.49984,190.5,P
325,320.49984,193.5,L
326,318.49984,196.5,P
327,315.50016,200.49984,LP
328,313.50016,203.49984,P
329,310.49984,207,L
330,308.49984,210.50016,P
331,306.49984,214.5,PL
332,303.50016,219,LP
333,301.50016,222.99984,L
334,298.49984,226.5,L
335,296.49984,230.49984,L
336,294.49984,235.5,P
337,291.50016,239.49984,L
338,289.50016,244.5,P
339,286.49984,249.99984,L
340,284.49984,255,L
341,281.50016,259.5,P
342,279.50016,264.99984,L
343,277.50016,270.99984,LP
344,274.49984,275.49984,P
345,272.49984,282,L
346,269.50016,288,L
347,267.50016,292.5,P
348,265.50016,299.49984,L
349,262.49984,305.49984,P
350,260.49984,312,L
351,257.50016,318.50016,LP
352,255.50016,324.50016,L
353,253.50016,331.5,LP
354,250.49984,338.49984,LP
355,248.49984,345.50016,L
356,245.50016,352.5,P
357,243.50016,360,L
358,241.50016,368.00016,LP
359,238.49984,375,P
360,236.49984,383.00016,L
361,233.50016,390.50016,L
362,231.50016,399,LP
363,229.50016,407.00016,P
364,229.50016,407.00016,P
365,230.49984,402.50016,P
366,232.49984,399.99984,L
367,233.50016,395.49984,P
368,235.50016,392.00016,P
369,236.49984,388.5,L
370,238.49984,384.50016,PL
371,239.50016,381.50016,LP
372,241.50016,377.49984,PL
373,242.49984,374.49984,L
374,244.49984,371.49984,LP
375,245.50016,368.00016,L
376,247.50016,364.5,PL
377,249.50016,361.5,L
378,250.49984,358.5,LP
379,252.49984,355.5,PL
380,253.50016,352.5,PL
381,255.50016,350.49984,L
382,256.49984,347.49984,P
383,258.49984,345,L
384,259.50016,342.99984,LP
385,261.50016,339.50016,P
386,262.49984,337.5,L
387,264.49984,334.5,P
388,266.49984,332.49984,L
389,267.50016,330.50016,L
390,269.50016,328.5,LP
391,270.49984,325.5,PL
392,272.49984,323.49984,LP
393,273.50016,321.50016,PL
394,275.50016,320.49984,L
395,276.49984,318.99984,L
396,278.49984,316.5,P
397,279.50016,314.49984,P
398,281.50016,313.5,L
399,283.50016,312,LP
400,284.49984,309.50016,P
401,286.49984,308.49984,LP
402,287.50016,307.5,LP
403,289.50016,305.49984,PL
404,290.49984,305.00016,L
405,292.49984,303.99984,LP
406,293.50016,303,L
407,295.50016,301.5,PL
408,296.49984,300.50016,LP
409,298.49984,299.49984,L
410,299.50016,298.5,PL
411,301.50016,297.50016,PL
412,303.50016,297.99984,L
413,304.49984,296.49984,PL
414,306.49984,296.00016,PL
415,307.50016,296.00016,LP
416,309.50016,294.99984,PL
417,310.49984,294.99984,L
418,312.49984,294.50016,LP
419,313.50016,293.49984,PL
420,315.50016,294,L
421,316.49984,293.49984,P
422,318.49984,293.49984,P
423,320.49984,293.49984,PL
424,321.50016,293.49984,P
425,323.50016,293.49984,P
426,324.49984,294.99984,LP
427,326.49984,294.99984,LP
428,327.50016,294.99984,PL
429,329.50016,296.00016,L
430,330.49984,296.00016,P
431,332.49984,296.49984,PL
432,333.50016,297.50016,L
433,335.50016,297.99984,LP
434,337.50016,298.5,L
435,338.49984,299.49984,P
436,340.49984,300.50016,PL
437,341.50016,301.5,PL
438,343.50016,303,L
439,344.49984,303.99984,LP
440,346.49984,305.00016,L
441,347.50016,305.49984,P
442,349.50016,307.5,L
443,350.49984,308.49984,LP
444,352.49984,309.50016,P
445,353.50016,312,LP
446,355.50016,313.5,L
447,357.50016,314.49984,PL
448,358.49984,316.5,LP
449,360.49984,318.50016,L
450,361.50016,321,L
451,363.50016,321.50016,P
452,364.49984,323.49984,L
453,366.49984,325.5,P
454,367.50016,329.00016,L
455,369.50016,330.50016,P
456,370.49984,332.49984,P
457,372.49984,335.00016,L
458,374.49984,337.5,L
459,375.50016,339.50016,P
460,377.50016,342.50016,L
461,378.49984,345,L
462,380.49984,347.49984,P
463,381.50016,351,L
464,383.50016,352.5,P
465,384.49984,355.5,L
466,386.49984,358.5,LP
467,387.50016,361.5,LP
468,389.50016,364.5,L
469,391.50016,368.00016,L
470,392.49984,371.49984,L
471,394.49984,374.49984,LP
472,395.50016,377.49984,P
473,397.50016,381.50016,LP
474,398.49984,384.50016,L
475,400.49984,388.5,LP
476,401.50016,392.00016,LP
477,403.50016,395.49984,L
478,404.49984,399.99984,LP
479,406.49984,402.50016,P
480,408.49984,406.5,L
481,408.49984,406.5,P
482,409.50016,401.49984,P
483,410.49984,397.5,L
484,411.50016,392.49984,L
485,412.49984,387.50016,P
486,414.49984,384,L
487,415.50016,379.5,L
488,416.49984,374.49984,PL
489,417.50016,370.5,LP
490,418.49984,366.50016,L
491,420.49984,362.49984,P
492,421.50016,359.00016,L
493,422.49984,354.50016,P
494,423.50016,351,L
495,424.49984,346.5,PL
496,426.49984,342.50016,P
497,427.50016,339.50016,LP
498,428.49984,336,PL
499,429.50016,332.49984,L
500,430.49984,328.5,PL
501,432.49984,325.5,LP
502,433.50016,322.5,PL
503,434.49984,320.00016,L
504,435.50016,316.5,P
505,436.49984,313.5,PL
506,438.49984,311.00016,LP
507,439.50016,307.5,PL
508,440.49984,304.5,P
509,441.50016,302.49984,L
510,442.49984,299.49984,L
511,444.49984,296.49984,P
512,445.50016,294.99984,L
513,446.49984,292.5,L
514,447.50016,289.5,P
515,448.49984,288,LP
516,450.49984,285.50016,PL
517,451.50016,283.5,PL
518,452.49984,281.49984,P
519,453.50016,279.99984,L
520,454.49984,277.5,P
521,456.49984,276.50016,L
522,457.50016,274.5,P
523,458.49984,273.50016,L
524,459.50016,272.00016,PL
525,461.50016,270.99984,L
526,462.49984,268.5,P
527,463.50016,267.50016,L
528,464.49984,266.49984,L
529,465.50016,265.5,P
530,467.50016,264.50016,L
531,468.49984,264,LP
532,469.50016,263.00016,L
533,470.49984,261.50016,P
534,471.50016,261.50016,L
535,473.50016,260.49984,P
536,474.49984,260.49984,L
537,475.50016,259.5,PL
538,476.49984,259.5,LP
539,477.50016,259.5,LP
540,479.50016,258.50016,P
541,480.49984,258.50016,P
542,481.50016,258.50016,L
543,482.49984,258.50016,L
544,483.50016,258.50016,P
545,485.50016,259.5,LP
546,486.49984,259.5,L
547,487.50016,259.5,P
548,488.49984,260.49984,LP
549,489.50016,260.49984,P
550,491.50016,261.99984,L
551,492.49984,261.50016,P
552,493.50016,263.00016,L
553,494.49984,264,LP
554,495.50016,264.99984,L
555,497.50016,265.5,P
556,498.49984,266.49984,L
557,499.50016,267.50016,PL
558,500.49984,268.5,PL
559,501.50016,270.99984,LP
560,503.50016,272.00016,PL
561,504.49984,273.50016,L
562,505.50016,274.5,P
563,506.49984,276.50016,L
564,508.49984,277.5,P
565,509.50016,279.99984,L
566,510.49984,282,L
567,511.50016,283.5,P
568,512.49984,285.50016,PL
569,514.49984,288,L
570,515.50016,289.5,P
571,516.49984,292.5,L
572,517.50016,294.99984,L
573,518.49984,297,P
574,520.49984,299.49984,L
575,521.50016,302.49984,P
576,522.49984,305.00016,P
577,523.50016,307.5,P
578,524.49984,311.00016,LP
579,526.49984,314.00016,L
580,527.50016,316.5,P
581,528.49984,320.00016,L
582,529.50016,322.5,P
583,530.49984,325.5,L
584,532.49984,328.5,P
585,533.50016,332.49984,L
586,534.49984,336,P
587,535.50016,339.50016,L
588,536.49984,342.50016,P
589,538.49984,346.5,P
590,539.50016,351,L
591,540.49984,354.50016,P
592,541.50016,359.00016,L
593,542.49984,362.49984,P
594,544.49984,366.50016,L
595,545.50016,370.5,L
596,546.49984,374.49984,P
597,547.50016,379.5,L
598,548.49984,384,LP
599,550.49984,387.50016,P
600,551.50016,393,LP
601,552.49984,397.5,L
602,553.50016,401.49984,P
603,555.50016,407.00016,P
604,555.50016,407.00016,P
605,553.50016,396.50016,P
606,552.49984,386.49984,P
607,551.50016,377.00016,PL
608,550.49984,368.00016,L
609,549.50016,357.50016,P
610,548.49984,348.50016,P
611,547.50016,339.50016,L
612,546.49984,330.50016,P
613,544.49984,321.50016,PL
614,543.50016,312.99984,P
615,542.49984,304.5,PL
616,541.50016,296.49984,L
617,540.49984,288.50016,LP
618,539.50016,280.5,P
619,538.49984,273,L
620,537.50016,264.50016,P
621,536.49984,257.49984,L
622,534.49984,250.5,L
623,533.50016,243.50016,LP
624,532.49984,236.49984,P
625,531.50016,229.5,PL
626,530.49984,224.00016,L
627,529.50016,217.5,PL
628,528.49984,211.5,P
629,527.50016,205.5,PL
630,526.49984,200.00016,LP
631,524.49984,193.5,P
632,523.50016,188.49984,P
633,522.49984,183.99984,L
634,521.50016,178.5,P
635,520.49984,173.49984,PL
636,519.50016,168.99984,P
637,518.49984,164.49984,L
638,517.50016,159.99984,P
639,516.49984,155.49984,P
640,514.49984,152.00016,L
641,513.50016,147.50016,PL
642,512.49984,144.50016,LP
643,511.50016,140.49984,P
644,510.49984,138,L
645,509.50016,135,L
646,508.49984,131.49984,P
647,507.50016,128.49984,PL
648,506.49984,126.50016,L
649,504.49984,123.50016,P
650,503.50016,122.00016,L
651,502.49984,120,L
652,501.50016,117.50016,P
653,500.49984,115.5,PL
654,499.50016,114.50016,P
655,498.49984,113.49984,L
656,497.50016,111.99984,LP
657,496.49984,110.49984,P
658,494.49984,110.49984,L
659,493.50016,109.5,P
660,492.49984,109.5,L
661,491.50016,108.50016,P
662,490.49984,108.50016,L
663,489.50016,108.50016,P
664,488.49984,109.5,LP
665,487.50016,109.5,P
666,486.49984,111,L
667,484.49984,111,PL
668,483.50016,111.99984,PL
669,482.49984,113.49984,L
670,481.50016,114.50016,P
671,480.49984,115.5,PL
672,479.50016,117.50016,PL
673,478.49984,120,L
674,477.50016,121.5,PL
675,476.49984,123.50016,P
676,474.49984,126.50016,L
677,473.50016,129,LP
678,472.49984,131.49984,P
679,471.50016,135,L
680,470.49984,138,L
681,469.50016,140.49984,P
682,468.49984,144.50016,L
683,467.50016,147.50016,PL
684,466.49984,152.00016,L
685,464.49984,155.49984,PL
686,463.50016,159.50016,P
687,462.49984,164.49984,L
688,461.50016,168.50016,P
689,460.49984,173.49984,PL
690,459.50016,178.5,PL
691,458.49984,183.99984,P
692,457.50016,188.49984,L
693,456.49984,193.5,P
694,454.49984,200.00016,L
695,453.50016,205.5,P
696,452.49984,211.5,L
697,451.50016,217.5,P
698,450.49984,224.00016,L
699,449.50016,229.5,P
700,448.49984,236.49984,L
701,447.50016,243.50016,L
702,446.49984,250.5,P
703,444.49984,257.49984,L
704,443.50016,264.50016,P
705,442.49984,273,L
706,441.50016,280.5,P
707,440.49984,288.50016,L
708,439.50016,297,LP
709,438.49984,304.5,L
710,437.50016,312.50016,P
711,436.49984,321.50016,L
712,434.49984,330.50016,P
713,433.50016,339.50016,L
714,432.49984,348.50016,P
715,431.50016,357.50016,L
716,430.49984,368.00016,L
717,429.50016,376.5,P
718,428.49984,386.49984,L
719,427.50016,396.50016,L
720,426.49984,406.5,P
721,426.49984,406.5,L
722,423.50016,402.50016,PL
723,421.50016,399,LP
724,418.49984,394.5,PL
725,416.49984,390.50016,LP
726,414.49984,385.5,PL
727,411.50016,381.50016,LP
728,409.50016,377.49984,L
729,406.49984,373.5,L
730,404.49984,369.50016,L
731,402.49984,365.49984,P
732,399.50016,362.00016,L
733,397.50016,356.49984,P
734,394.49984,353.00016,L
735,392.49984,348.50016,PL
736,390.49984,345,L
737,387.50016,340.5,P
738,385.50016,336.50016,L
739,383.50016,331.5,P
740,380.49984,327.99984,L
741,378.49984,323.49984,P
742,375.50016,320.00016,L
743,373.50016,315.50016,P
744,371.50016,312,L
745,368.49984,307.5,LP
746,366.49984,302.49984,PL
747,363.50016,298.5,LP
748,361.50016,294.50016,L
749,359.50016,290.49984,P
750,356.49984,287.00016,L
751,354.49984,282.50016,L
752,352.49984,277.5,P
753,349.50016,273.50016,P
754,347.50016,269.49984,L
755,344.49984,266.00016,LP
756,342.49984,261.50016,P
757,340.49984,257.49984,LP
758,337.50016,253.5,L
759,335.50016,249,P
760,332.49984,244.5,L
761,330.49984,240.99984,LP
762,328.49984,236.49984,L
763,325.50016,232.5,LP
764,323.50016,228.50016,L
765,320.49984,224.00016,LP
766,318.49984,219.50016,P
767,316.49984,216,L
768,313.50016,211.5,P
769,311.50016,207.99984,L
770,309.50016,203.49984,P
771,306.49984,200.00016,L
772,304.49984,194.49984,P
773,301.50016,191.00016,L
774,299.50016,186.50016,P
775,297.50016,182.49984,L
776,294.49984,178.5,P
777,292.49984,174.99984,L
778,289.50016,169.5,P
779,287.50016,165.50016,P
780,285.50016,161.49984,L
781,282.49984,165.50016,L
782,280.49984,169.5,P
783,278.49984,174.99984,L
784,275.50016,178.5,P
785,273.50016,182.49984,PL
786,270.49984,186.50016,PL
787,268.49984,191.00016,L
788,266.49984,194.49984,P
789,263.50016,200.00016,L
790,261.50016,203.49984,P
791,258.49984,207.99984,L
792,256.49984,211.5,P
793,254.49984,216,L
794,251.50016,219.50016,PL
795,249.50016,224.00016,PL
796,247.50016,228.50016,L
797,244.49984,232.5,L
798,242.49984,236.49984,P
799,239.50016,240.50016,L
800,237.50016,244.5,PL
801,235.50016,248.49984,P
802,232.49984,253.5,L
803,230.49984,257.49984,LP
804,227.50016,261.50016,PL
805,225.50016,265.5,P
806,223.50016,269.49984,L
807,220.49984,273.50016,L
808,218.49984,277.5,PL
809,215.50016,282.99984,L
810,213.50016,287.00016,L
811,211.50016,290.49984,L
812,208.49984,294.50016,L
813,206.49984,298.5,L
814,204.49984,303,L
815,201.50016,307.5,LP
816,199.50016,312,LP
817,196.49984,315.50016,P
818,194.49984,320.00016,LP
819,192.49984,323.49984,P
820,189.50016,327.99984,LP
821,187.50016,331.5,L
822,184.49984,336.50016,LP
823,182.49984,340.5,L
824,180.49984,344.49984,L
825,177.50016,348.50016,P
826,175.50016,353.00016,L
827,173.50016,356.49984,P
828,170.49984,361.5,LP
829,168.49984,365.49984,L
830,165.50016,369.50016,P
831,163.50016,374.00016,L
832,161.50016,377.49984,P
833,158.49984,381.50016,L
834,156.49984,385.5,P
835,153.50016,390.50016,L
836,151.50016,395.00016,LP
837,149.50016,399,L
838,146.49984,402.50016,P
839,144.49984,406.5,L
840,142.49984,410.49984,L
841,142.49984,410.49984,P
842,143.50016,402.50016,LP
843,144.49984,393.99984,L
844,146.49984,384.99984,PL
845,147.50016,376.5,P
846,149.50016,368.49984,L
847,150.49984,360,P
848,152.49984,352.5,L
849,153.50016,344.49984,PL
850,154.49984,336.99984,LP
851,156.49984,328.5,P
852,157.50016,321.50016,LP
853,159.50016,314.49984,L
854,160.49984,307.5,LP
855,162.49984,300.50016,P
856,163.50016,293.49984,L
857,164.49984,287.00016,P
858,166.49984,281.00016,L
859,167.50016,273.50016,P
860,169.50016,267.50016,L
861,170.49984,261.50016,PL
862,172.49984,255.99984,L
863,173.50016,249.50016,P
864,174.49984,244.5,L
865,176.49984,238.5,PL
866,177.50016,233.49984,LP
867,179.50016,228.50016,P
868,180.49984,224.00016,L
869,182.49984,218.49984,PL
870,183.50016,213.50016,LP
871,184.49984,208.5,P
872,186.49984,204.50016,L
873,187.50016,200.00016,P
874,189.50016,195.50016,P
875,190.49984,192,L
876,192.49984,187.5,P
877,193.50016,183.99984,LP
878,194.49984,180.50016,L
879,196.49984,176.49984,P
880,197.50016,173.49984,LP
881,199.50016,170.49984,P
882,200.49984,168,L
883,202.49984,164.49984,PL
884,203.50016,161.49984,P
885,204.49984,159.99984,L
886,206.49984,156.50016,P
887,207.50016,155.00016,L
888,209.50016,152.49984,PL
889,210.49984,150.50016,L
890,212.49984,148.5,P
891,213.50016,146.49984,L
892,214.49984,144.50016,P
893,216.49984,144,L
894,217.50016,142.5,L
895,219.50016,140.49984,P
896,220.49984,139.5,PL
897,222.49984,139.5,LP
898,223.50016,138.99984,L
899,224.49984,138,PL
900,226.49984,137.49984,P
901,227.50016,137.49984,L
902,229.50016,136.5,P
903,230.49984,137.00016,PL
904,232.49984,137.49984,L
905,233.50016,137.49984,P
906,235.50016,137.49984,PL
907,236.49984,138.50016,P
908,237.50016,139.5,L
909,239.50016,139.5,PL
910,240.49984,140.49984,PL
911,242.49984,142.5,L
912,243.50016,143.49984,PL
913,245.50016,144.50016,PL
914,246.49984,146.49984,LP
915,247.50016,148.5,PL
916,249.50016,150.50016,PL
917,250.49984,153,LP
918,252.49984,155.00016,L
919,253.50016,156.50016,PL
920,255.50016,159.50016,L
921,256.49984,161.49984,PL
922,257.50016,164.49984,PL
923,259.50016,168,L
924,260.49984,170.49984,PL
925,262.49984,173.49984,PL
926,263.50016,176.49984,P
927,265.50016,180.50016,L
928,266.49984,183.99984,PL
929,267.50016,187.5,P
930,269.50016,192,L
931,270.49984,195.50016,PL
932,272.49984,200.00016,PL
933,273.50016,204.50016,L
934,275.50016,208.5,P
935,276.49984,213.99984,L
936,277.50016,218.49984,L
937,279.50016,224.00016,L
938,280.49984,228.50016,P
939,282.49984,233.49984,L
940,283.50016,239.00016,P
941,285.50016,244.5,L
942,286.49984,249.99984,L
943,287.50016,255.50016,P
944,289.50016,261.50016,L
945,290.49984,267.50016,P
946,292.49984,273.50016,L
947,293.50016,280.5,LP
948,295.50016,287.00016,L
949,296.49984,293.49984,P
950,297.50016,300.50016,LP
951,299.50016,307.5,L
952,300.49984,314.49984,LP
953,302.49984,321.50016,L
954,303.50016,329.00016,P
955,305.50016,336.50016,L
956,306.49984,345,P
957,307.50016,352.5,L
958,309.50016,360,P
959,310.49984,368.49984,LP
960,312.49984,376.5,L
961,313.50016,384.99984,LP
962,315.50016,393.50016,L
963,316.49984,402.50016,LP
964,318.49984,410.49984,P
965,318.49984,410.49984,P
966,319.50016,408,L
967,320.49984,403.5,P
968,322.49984,401.00016,L
969,323.50016,396.50016,P
970,324.49984,393.50016,LP
971,326.49984,389.49984,L
972,327.50016,385.5,P
973,328.49984,382.5,L
974,330.49984,378.50016,P
975,331.50016,375.99984,L
976,332.49984,371.49984,P
977,334.49984,368.49984,LP
978,335.50016,364.5,L
979,336.49984,360.50016,P
980,338.49984,357.50016,L
981,339.50016,353.49984,P
982,340.49984,350.49984,L
983,342.49984,346.5,P
984,343.50016,344.00016,L
985,345.50016,339.50016,P
986,346.49984,336.99984,L
987,347.50016,332.49984,L
988,349.50016,328.5,P
989,350.49984,325.5,L
990,351.50016,321.50016,P
991,353.50016,318.50016,LP
992,354.49984,314.49984,P
993,355.50016,312,L
994,357.50016,307.5,P
995,358.49984,304.5,LP
996,359.50016,300.50016,L
997,361.50016,296.49984,L
998,362.49984,293.49984,LP
999,363.50016,289.5,L
1000,365.50016,287.00016,P
1001,366.49984,282.50016,P
1002,367.50016,279.99984,L
1003,369.50016,275.49984,P
1004,370.49984,272.00016,L
1005,372.49984,268.5,P
1006,373.50016,264.50016,L
1007,374.49984,261.50016,LP
1008,376.49984,257.49984,L
1009,377.50016,254.49984,LP
1010,378.49984,250.5,L
1011,380.49984,248.00016,P
1012,381.50016,243.50016,P
1013,382.49984,240,L
1014,384.49984,236.49984,LP
1015,385.50016,232.5,L
1016,386.49984,229.5,LP
